                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.6262,                 2.4527,                 1.9727,                 1.9492,                 0.2585,                0.46988,                0.25108,                0.11089,                0.26812,                0.39759,                0.27204,                0.11313,                 1.4135,                0.86715,                 2.5702,                 2.3197,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5945,                 2.5104,                   1.86,                 1.9213,                0.39284,                0.60241,                0.37397,                0.17033,                0.42683,                0.63855,                0.39863,                0.16525,                 1.3248,                0.83313,                 2.4657,                 2.2256,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.574,                 2.6464,                 1.8231,                 1.8678,                0.34746,                0.55422,                0.38468,                0.21357,                 0.3682,                0.59685,                0.39284,                0.17608,                 1.2457,                 1.0239,                 2.1408,                 2.1286,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.5494,                 2.7154,                  1.803,                 1.8282,                0.32753,                0.50602,                0.42201,                0.22712,                0.37712,                0.55422,                0.44511,                0.18493,                 1.3118,                 1.5004,                 2.1247,                  2.175,                0.00101,                0.00101,                0.00101
                     27,                 1.5684,                 2.5923,                 1.7364,                 1.8741,                0.31049,                0.56627,                0.42875,                0.20628,                0.30985,                0.62651,                 0.4271,                0.17334,                 1.4427,                 2.4362,                   2.26,                 2.2305,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5379,                 2.4343,                 1.6786,                 1.8502,                0.35229,                0.59036,                0.45034,                 0.2228,                0.42426,                0.55422,                0.46857,                0.18605,                 1.3857,                 1.2593,                 2.2042,                 2.1942,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4673,                 2.4055,                 1.7418,                 1.7994,                0.55132,                0.54779,                0.48706,                0.22594,                0.54957,                 0.5292,                0.49641,                0.22351,                 1.2612,                0.95014,                 2.0865,                 2.2059,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.4687,                 2.5465,                 1.6643,                 1.7801,                0.59618,                0.64038,                0.56861,                0.28907,                0.59618,                0.64038,                0.56445,                 0.2683,                 1.2871,                0.82899,                   2.07,                 2.2503,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.4866,                 2.4353,                 1.8046,                  1.802,                0.39659,                0.79518,                0.47827,                0.27176,                0.39002,                0.79518,                0.47593,                0.24422,                  1.258,                 1.3903,                 2.4711,                 2.2753,               0.000812,               0.000812,               0.000812
                     32,                  1.453,                  2.291,                 1.6373,                 1.8154,                0.42881,                0.75904,                0.52888,                  0.308,                0.42045,                0.74699,                 0.5163,                0.27329,                  1.218,                 0.9685,                 2.4586,                 2.2437,              0.0007724,              0.0007724,              0.0007724
                     33,                  1.457,                 2.6211,                 1.7019,                 1.8192,                0.55136,                0.63855,                0.57677,                0.33967,                0.55136,                0.63855,                0.56561,                0.29136,                 1.1654,                0.86658,                 2.4231,                 2.1606,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.4086,                 2.4327,                 1.6301,                 1.7726,                0.53751,                0.53012,                0.55736,                0.32333,                0.53751,                0.53012,                 0.5465,                0.29628,                 1.0803,                0.83511,                  2.365,                 2.0581,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.4752,                   2.25,                 1.6584,                 1.7971,                0.53875,                0.49398,                 0.5442,                0.30892,                0.53875,                0.49398,                0.53641,                0.29469,                 1.0018,                0.87047,                 2.3579,                 1.9533,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4317,                 2.3876,                 1.6134,                 1.7266,                0.48044,                0.59036,                0.49786,                0.28779,                0.48044,                0.59036,                0.48508,                 0.2504,                0.99589,                0.83529,                 2.0764,                 1.8559,               0.000614,               0.000614,               0.000614
                     37,                  1.369,                  2.383,                 1.5106,                 1.6857,                0.52061,                0.54957,                0.49714,                0.29771,                0.56899,                 0.5408,                0.49574,                0.26448,                0.98802,                0.79826,                   2.06,                 1.8526,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3973,                 2.2911,                 1.5879,                 1.7569,                0.45245,                 0.6506,                0.53091,                0.30939,                0.62274,                0.55422,                 0.5415,                0.27835,                 1.0077,                0.80106,                 1.9265,                 1.8746,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3424,                 2.2428,                 1.4507,                 1.6999,                0.57525,                0.59036,                0.56899,                0.33974,                 0.5766,                0.56627,                0.55358,                0.30819,                 0.9962,                0.77623,                 1.8804,                 1.8536,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3838,                 2.1789,                 1.7813,                 1.8774,                0.69679,                0.41538,                0.52827,                0.34093,                0.69679,                0.41538,                0.51341,                0.31852,                 1.0608,                0.81166,                   1.71,                 1.8822,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3479,                 2.3802,                 1.6585,                 1.8134,                0.69012,                0.38554,                0.51719,                0.33158,                0.69012,                0.38554,                0.50478,                0.32357,                 1.0916,                0.82807,                 1.7037,                 1.9187,               0.000416,               0.000416,               0.000416
                     42,                 1.2798,                 2.1061,                 1.5854,                 1.7736,                0.69462,                0.38554,                0.53645,                0.33349,                0.69462,                0.38554,                0.52093,                 0.3264,                 1.1303,                0.91908,                 1.5746,                 2.0156,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2748,                 2.1436,                  1.561,                 1.7939,                0.66048,                0.42188,                0.56444,                0.37019,                0.69098,                0.42169,                0.53793,                0.33638,                 1.1068,                 1.1408,                 1.4989,                 1.9848,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2646,                 2.0845,                 1.5255,                 1.8172,                0.58878,                0.68675,                0.70089,                0.48566,                0.58878,                0.68675,                0.69155,                 0.4322,                0.97015,                0.80521,                 1.3239,                  1.848,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2367,                 2.0325,                 1.3692,                 1.7639,                0.67422,                 0.6747,                0.73293,                0.51184,                 0.6843,                 0.6747,                0.71741,                 0.4395,                0.98921,                0.84941,                 1.2828,                 1.8178,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1989,                  1.887,                 1.3569,                 1.7267,                0.64821,                0.74699,                0.69173,                0.48933,                0.63775,                0.73494,                0.67066,                0.36599,                  1.037,                 1.4883,                 1.2817,                 1.8339,               0.000218,               0.000218,               0.000218
                     47,                 1.2207,                 1.9647,                 1.3775,                 1.7811,                0.71955,                0.75904,                0.74232,                0.54447,                0.70813,                0.74699,                0.72117,                 0.4501,                0.92548,                 0.9136,                 1.1978,                  1.767,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2044,                 1.9344,                 1.3682,                 1.7063,                0.74953,                0.72289,                0.74288,                0.55423,                0.73704,                0.71084,                0.71519,                0.43936,                0.96438,                 1.3761,                  1.163,                 1.7712,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1949,                 1.9354,                 1.3721,                 1.7376,                0.76677,                0.73494,                0.75112,                0.56289,                0.75243,                0.72289,                0.72048,                0.44643,                0.96993,                 1.3024,                  1.154,                 1.7875,               9.92e-05,               9.92e-05,               9.92e-05
